company_name,location,job_title,job_description,rating,employer_estimate,min_salary,max_salary,avg_salary,Size,Founded,Type,Industry,Sector,Revenue,skills,age
SHL,Gurgaon,Associate - Data Operations,"Employee benefits package that takes care of you and your family. As a Data Operations Associate, you will be involved in creating standardized and reliable……
Skills: Databases, SQL, Machine learning, Communication skills, Python",3.6,0,-1,-1,-1.0,1001 to 5000 Employees,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Databases, SQL, Machine learning, Communication skills, Python",
Altair Engineering,Bengaluru,Intern – Global Academic Program – Data Science,"Ability to convey Data science, AI and its related mathematical concepts and considerations to beginners. Help with administering student access to our software……
Skills: Data mining, R, English, Machine learning, Data science",4.3,0,-1,-1,-1.0,1001 to 5000 Employees,1985,Company - Public,Software Development,Information Technology,$500 million to $1 billion (USD)," Data mining, R, English, Machine learning, Data science",39.0
ADCI - Karnataka - A66,Bengaluru,"Data Associate II Quality, ML Data Ops","Perform data collection and curation, ultimately resulting in the generation of high-quality data that can be utilized for AI models.…
Skills: Image processing, Microsoft Excel, English, Microsoft Office, Analysis skills",3.7,0,-1,-1,-1.0,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)," Image processing, Microsoft Excel, English, Microsoft Office, Analysis skills",30.0
Oracle,Noida,Software Developer,"As a member of the LSGIU development organization, you will contribute to a mission-critical platform that enables our customers to develop solutions that……
Skills: Oracle, Software troubleshooting",3.8,0,-1,-1,-1.0,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)," Oracle, Software troubleshooting",47.0
Schnell Technocraft,Noida,Data AI Intern,"Ability to understand the business requirements thoroughly and convert those requirements into proper technical solutions to achieve the required goals.…
Skills: Computer science, Power BI, Image processing, Tableau, SQL",,0,-1,-1,-1.0,,,,,,," Computer science, Power BI, Image processing, Tableau, SQL",
Wellorgs Infotech Pvt. Ltd.,Remote,AI/ML Intern,"Experience with data mining, analytics, and linked data concepts. Implement AI solutions to improve data analysis, predictive modeling, and decision-making……
Skills: TensorFlow, Data mining, Big data, R, Java",,0,-1,-1,-1.0,,,,,,," TensorFlow, Data mining, Big data, R, Java",
MNJ Software,Remote,Data Science - Intern,"(Master) student who has successfully passed semesters of computer science, data science, artificial intelligence or studies with strong focus on IT and data……
Skills: Power BI, Azure, English, Tableau, Administrative experience",3.6,0,-1,-1,-1.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Power BI, Azure, English, Tableau, Administrative experience",
Bijak,Gurgaon,Intern,"Currently enrolled in a bachelor's degree program in Computer Science, Information Technology, or a related field (freshers or final year students preferred).…
Skills: SQL, Analysis skills, Quality assurance, Software testing, Communication skills",4.2,0,-1,-1,-1.0,51 to 200 Employees,2019,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable," SQL, Analysis skills, Quality assurance, Software testing, Communication skills",5.0
Procter & Gamble,Mumbai,Internship | Data Science,"You’ll be either in the central data scientist team taking on retail and media analytics problems that are general across brands, or you’ll be in the embedded……
Skills: Big data, Spark, Git, SQL, Machine learning",4.1,0,-1,-1,-1.0,10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)," Big data, Spark, Git, SQL, Machine learning",187.0
Pfizer,Chennai,"Junior Associate, Associate Statistical Data Scientist","Active self-learning and delivering on solutions in the space of statistical programming and data standards. Understanding of clinical data and drug development……
Skills: Statistics, SAS, R, Less, Communication skills",3.8,0,-1,-1,-1.0,Unknown,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)," Statistics, SAS, R, Less, Communication skills",175.0
Boston Consulting Group,Gurgaon,"Software Engineering Director, India - X Delivery","14+ years of technology and software engineering in a complex and fast-paced business environment (ideally an agile environment) with exposure to a variety of……
Skills: CI/CD, Azure, Oracle, Management, Node.js",4.2,0,300000,800000,550000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," CI/CD, Azure, Oracle, Management, Node.js",61.0
CRISIL,Pune,Data Analyst,"Employ statistical techniques to scrutinize data and produce actionable business insights. Engage with managers from various departments to specify data……
Skills: Data analysis skills, SQL, Analysis skills, Python",3.8,0,200000,900000,550000.0,1001 to 5000 Employees,1987,Company - Public,Research and development,Management and consulting,$5 to $10 billion (USD)," Data analysis skills, SQL, Analysis skills, Python",37.0
Vertoz,Mumbai,Data Science Intern - Vertoz,"Collaboration: Work closely with cross-functional teams to understand business requirements and deliver data-driven solutions.…
Skills: Tableau, Databases, SQL, Analysis skills, Database management",3.7,0,1000000,1000000,1000000.0,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Tableau, Databases, SQL, Analysis skills, Database management",
Amex,Gurgaon,Analyst-Data Analytics,"Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need. The leader will collaborate with stakeholders across……
Skills: Microsoft Powerpoint, Data mining, CSS, Apache Hive, Microsoft Office",4.1,0,500000,1000000,750000.0,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD)," Microsoft Powerpoint, Data mining, CSS, Apache Hive, Microsoft Office",174.0
Caterpillar,Bengaluru,Data Engineer,"The data engineer will work with data scientists, business intelligence analysts, and others as part of a team that assembles large, complex data sets,……
Skills: Statistics, Data modeling, Azure, Data structures, Git",4.1,0,500000,1000000,750000.0,10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)," Statistics, Data modeling, Azure, Data structures, Git",99.0
Optum,Gurgaon,Data Scientist,"At least 3-4 years hands on experience of solving real world business problems leveraging data science tools. Proven excellent interpersonal and team skills.…
Skills: Microsoft Powerpoint, TensorFlow, Microsoft Excel, Microsoft Access, R",3.5,0,400000,900000,650000.0,10000+ Employees,--,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD)," Microsoft Powerpoint, TensorFlow, Microsoft Excel, Microsoft Access, R",
Amex,Gurgaon,Analyst-Data Science,"We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. Excellent written, oral communication skills.…
Skills: Computer science, Big data, Apache Hive, Java, Analysis skills",4.1,0,500000,700000,600000.0,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD)," Computer science, Big data, Apache Hive, Java, Analysis skills",174.0
Maskoid Technologies,Vadodara,Data Analytics - Fresher,"Fetch relevant companies from target industry verticals on a daily basis. Extract and compile data from primary and secondary sources to fill in missing……
Skills: Power BI, Research, Tableau, SQL, Analysis skills",4.5,0,600000,900000,750000.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Power BI, Research, Tableau, SQL, Analysis skills",
Ecozen Solutions,Pune,Data Science Intern,"Compile, verify accuracy and sort information according to priorities to prepare source data for computer entry.…
Skills: Microsoft Office, Data entry, Clerical experience, Data science",3.8,0,400000,700000,550000.0,201 to 500 Employees,--,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable," Microsoft Office, Data entry, Clerical experience, Data science",
Thoucentric,Bengaluru,Junior Data Analyst,"Building capabilities that address a market need, basis our ongoing research efforts. Solving a specific use case for a current or potential client based on……
Skills: Data analysis skills, Apache Hive, SQL, Analysis skills, Presentation skills",4.1,0,500000,900000,700000.0,201 to 500 Employees,2015,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable," Data analysis skills, Apache Hive, SQL, Analysis skills, Presentation skills",9.0
Transorg Analytics,Gurgaon,Data Science Ops Associate,"Prior experience in organizing datasets, case studies, popular problems in ML is mandatory. Pickl (TransOrg’s education brand) is looking for an operations……
Skills: Learning technology, Big data, Git, Machine learning, Deep learning",3.5,0,1000000,1000000,1000000.0,51 to 200 Employees,--,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable," Learning technology, Big data, Git, Machine learning, Deep learning",
Kennametal,Bengaluru,Analyst Advanced Analytics and Data Science-India,"Collaborate with IT and business stakeholders to implement technology solutions that support commercial excellence initiatives. Pricing and Margin Analysis:…
Skills: Power BI, Microsoft Excel, Business analysis, Tableau, SQL",3.6,0,300000,600000,450000.0,5001 to 10000 Employees,1938,Company - Public,Machinery Manufacturing,Manufacturing,$2 to $5 billion (USD)," Power BI, Microsoft Excel, Business analysis, Tableau, SQL",86.0
Boston Consulting Group,Delhi,Global IT Software Engineer Senior Manager,"As a valued member of our dynamic squad, you will play a crucial role in developing and implementing technical solutions across the entire spectrum of BCG’s……
Skills: CI/CD, Azure, Oracle, CSS, Bootstrap",4.2,0,300000,600000,450000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," CI/CD, Azure, Oracle, CSS, Bootstrap",61.0
Clarivate,Noida,Associate Data Scientist,"Participate in impactful, real-world projects at Clarivate that push the boundaries of AI and data science in IP.…
Skills: Analysis skills, Machine learning, Data science, AI, Python",3.6,0,500000,1000000,750000.0,10000+ Employees,2016,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)," Analysis skills, Machine learning, Data science, AI, Python",8.0
Syneos - Clinical and Corporate - Prod,Salem,Sr Solutions Architect (Data Modeler),"The Solution Architect will be responsible for designing and overseeing the implementation of complex software solutions that address our customers' business……
Skills: Data modeling, Azure, Oracle, Cloud architecture, Kubernetes",3.8,0,300000,800000,550000.0,10000+ Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Unknown / Non-Applicable," Data modeling, Azure, Oracle, Cloud architecture, Kubernetes",
Boston Consulting Group,Delhi,Global IT Software Engineer Senior Specialist,"Provide exceptional Level 3 technical support for enterprise AI tools, working closely with internal teams and vendors to ensure smooth operations and rapid……
Skills: CI/CD, React, Kubernetes, Git, Test-driven development",4.2,0,500000,800000,650000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," CI/CD, React, Kubernetes, Git, Test-driven development",61.0
Amex,Gurgaon,Analyst-Data Analytics,"Deliver read out of campaigns uncovering insights and learnings that can be utilized to further optimize the channels. Strong programming skills are preferred.…
Skills: Computer science, Big data, Spark, Apache Hive, SQL",4.1,0,600000,700000,650000.0,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD)," Computer science, Big data, Spark, Apache Hive, SQL",174.0
Atlassian,Bengaluru,"Software Engineer, Data Science","You'll be responsible for the design, build and maintenance of tools that enable our Support Engineers and related teams to be more effective and efficient at……
Skills: Software deployment, Microservices, SQL, Docker, Machine learning",3.8,0,600000,700000,650000.0,5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable," Software deployment, Microservices, SQL, Docker, Machine learning",22.0
VARAISYS PRIVATE LIMITED,Noida,Data Scientist ( Freshers) BSc Hons.( Statistics),"Job type:* Full Time, Permanent. A degree in B.Sc. (Hons.) Statistics from a renowned university. Excellent verbal and written communication in English are……
Skills: Big data, R, English, SQL, Data science",,0,300000,600000,450000.0,,,,,,," Big data, R, English, SQL, Data science",
Boston Consulting Group,Bengaluru,"Software Engineering Senior Manager, India - X Delivery","As a part of BCG's X OPERATE team you will be working to accelerate a growing business focused on Hyper Care, premium Maintenance / Support for BCG Software and……
Skills: Azure, Management, Multilingual, Spark, PaaS",4.2,0,500000,700000,600000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Azure, Management, Multilingual, Spark, PaaS",61.0
REIZEND PRIVATE LIMITED,Thiruvananthapuram,Data Science & AI ML Engineer,"Certification or experience in data analysis, data mining, and statistical modelling is an added advantage. Familiarity with Jira and Agile methodology will be……
Skills: Jira, TensorFlow, Computer science, Power BI, Data mining",,0,300000,700000,500000.0,,,,,,," Jira, TensorFlow, Computer science, Power BI, Data mining",
Wahy Lab Solutions,Cochin,Data Science Intern,"hiring Interns for Data Science , Freshers can apply Job Types: Full-time, Permanent, Fresher Schedule: * Monday to Friday Work Location: In……
Skills: Data science",3.5,0,300000,700000,500000.0,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable, Data science,
Boston Consulting Group,Delhi,Global IT Software Engineer Senior Manager (Gen AI / LLM),"Agile Coaches and Scrum Leads, that will ensure that you adopt agile principles, mindset and ways of working into your daily routine and who will coach you……
Skills: CI/CD, Cloud infrastructure, Azure, Node.js, React",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," CI/CD, Cloud infrastructure, Azure, Node.js, React",61.0
Boston Consulting Group,Delhi,Data Architect,"Keep pace with industry trends to ensure our cloud data center designs and infrastructure layer architectures remain cutting-edge and client-focused.…
Skills: Azure, Cloud architecture, PCI, Kubernetes, Big data",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Azure, Cloud architecture, PCI, Kubernetes, Big data",61.0
Behr Paint Company,Maharashtra,Software Engineer (PowerApp Developer),"Solution Architecture: Collaborate with business stakeholders, technical teams, and solution architects to understand business requirements, define solution……
Skills: Power BI, Azure, Multilingual, Kanban, Software deployment",3.9,0,-1,-1,-1.0,1001 to 5000 Employees,1947,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable," Power BI, Azure, Multilingual, Kanban, Software deployment",77.0
American Express Global Business Travel,Gurgaon,Software Development Engineer III,"Develop the skills you want when the time is right for you, with global tuition assistance, access to over 20,000 courses on our learning platform, leadership……
Skills: CSS, Software troubleshooting, React, Data structures, NoSQL",4.2,0,-1,-1,-1.0,10000+ Employees,1915,Company - Public,Travel Agencies,Hotel and travel accommodation,Unknown / Non-Applicable," CSS, Software troubleshooting, React, Data structures, NoSQL",109.0
Adobe,Bengaluru,Computer Scientist,"Experience : 3-5 years of software engineering experience, including at least 2 years in integrating machine learning models and maintaining ML pipelines,……
Skills: TensorFlow, Machine learning, Natural language processing, Software development, AI",4.2,0,-1,-1,-1.0,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD)," TensorFlow, Machine learning, Natural language processing, Software development, AI",42.0
Boston Consulting Group,Bengaluru,Data Engineer - X Delivery,"You will collaborate closely with cross-functional teams, including data scientists, analysts, and business stakeholders, to deliver high-quality data solutions……
Skills: Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",61.0
Boston Consulting Group,Gurgaon,"Senior Data Analyst, Client Ops, Predictive, India- X Delivery","As a part of BCG's X OPERATE team you will be working to accelerate a growing business focused on Hyper Care, premium Maintenance / Support for BCG Software and……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",61.0
Boston Consulting Group,Gurgaon,"Data Analyst, Predictive, India- X Delivery","Our data analytics and artificial intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",61.0
Syneos - Clinical and Corporate - Prod,Salem,Senior Apex Developer,"The successful candidate will be responsible for designing, developing, and maintaining Oracle database solutions to support our organization's critical……
Skills: AJAX, Performance tuning, Azure, Oracle, Clinical research",3.8,0,-1,-1,-1.0,10000+ Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Unknown / Non-Applicable," AJAX, Performance tuning, Azure, Oracle, Clinical research",
ANZ Banking Group,Bengaluru,Data Engineer,"4+ years of industry experience in data and/or software engineering, data science, business intelligence, or related fields.…
Skills: CI/CD, Data modeling, Rust, Go, Business intelligence",4.0,0,-1,-1,-1.0,5001 to 10000 Employees,1835,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable," CI/CD, Data modeling, Rust, Go, Business intelligence",189.0
Airtel India,Gurgaon,Data Analyst,"We as an Organization strongly believe in data driven decision making and thrive on solving complex business problems with Analytics & Data Science.…
Skills: Statistics, Data structures, R, Tableau, SQL",4.0,0,-1,-1,-1.0,10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)," Statistics, Data structures, R, Tableau, SQL",29.0
Barclays,Pune,Compliance Developer Summer Interns 2025 India,"You’ll spend time with the Compliance team building excellent foundational knowledge while getting to know our business and our people.…
Skills: Project management, Machine learning, Risk management, Data science, Data visualization",3.9,0,-1,-1,-1.0,10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD)," Project management, Machine learning, Risk management, Data science, Data visualization",334.0
Galytix,Gurgaon,Data Architect/Data Modeler,"Creation of solutions that meet business needs and move towards end state architecture. Work closely with Product Owners, Solution Architects and the Data……
Skills: English, Financial services, Communication skills",3.4,0,-1,-1,-1.0,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," English, Financial services, Communication skills",9.0
Boston Consulting Group,Bengaluru,"Data Analyst, Optimization, India - X Delivery","You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.…
Skills: Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",61.0
Boston Consulting Group,Bengaluru,Data Engineering Lead - X Delivery,"Project Ownership: Taking full ownership of data engineering projects, from conception through execution to delivery, ensuring alignment with business……
Skills: Microsoft Powerpoint, Azure, Cassandra, Big data, Spark",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Azure, Cassandra, Big data, Spark",61.0
RajYug Solutions,Pune,Interns / Freshers - 3 Months Internship,"Research and Analysis: Conduct research and analyze data to support project requirements and decision-making processes.…
Skills: Computer science, Databases, Software development, Data science, AI",1.8,0,-1,-1,-1.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Computer science, Databases, Software development, Data science, AI",
Cognizant,Calcutta,Trainee - Junior Data Analyst,"Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse. For PV/Complaints Management Individuals in this role……
Skills: Data entry, SharePoint",3.7,0,-1,-1,-1.0,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)," Data entry, SharePoint",30.0
Innovecture,Pune,Data Analyst,"O Stay updated with the latest industry trends and best practices in data analysis. O Perform data cleaning and data validation tasks to maintain data integrity……
Skills: Power BI, Azure, Big data, Spark, R",4.6,0,-1,-1,-1.0,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)," Power BI, Azure, Big data, Spark, R",17.0
BOEING,Bengaluru,Associate Software Engineer,"Bachelor’s degree or higher in computer science, aerospace or other closely related field and 3-4 or more years' related work experience.…
Skills: CI/CD, Azure, Rust, Go, Node.js",3.8,0,-1,-1,-1.0,10000+ Employees,1916,Company - Public,Aerospace and defence,Aerospace and defence,$10+ billion (USD)," CI/CD, Azure, Rust, Go, Node.js",108.0
CODEC Networks,Delhi,Data Science & Analytic,"1 to 2 years developing and implementing data analytics methodologies with good interpersonal with excellent communication skills.…
Skills: Data mining, Big data, Spark, R, Apache Hive",3.8,0,-1,-1,-1.0,1 to 50 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Data mining, Big data, Spark, R, Apache Hive",13.0
Imurgence,Remote,Data Science/ ML /AI Technical Code Writer for Blogs,"Understanding the instructions specified, write code for a implementation. Creatively write the explanation for the code implementation.…
Skills: Data science, AI",4.0,0,-1,-1,-1.0,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable," Data science, AI",
Boston Consulting Group,Gurgaon,"Lead Data Scientist, India - BCG X","We are seeking a strong candidate with significant advanced analytics experience to fill an exciting Lead Data Scientist (LDS) position within BCG X. The LDS is……
Skills: Spark, Project management, Data science",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Spark, Project management, Data science",61.0
Autodesk,Bengaluru,Data Analyst,"The EAX team is chartered with building innovative data products and analytics solutions to support business needs for Autodesk’s strategy, marketing, sales and……
Skills: Microsoft Powerpoint, Power BI, Data mining, Business intelligence, Big data",4.3,0,-1,-1,-1.0,10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)," Microsoft Powerpoint, Power BI, Data mining, Business intelligence, Big data",42.0
Deutsche Bank,Bengaluru,Analytics - Data Analyst,"BS or higher degree in a relevant field such as Computer Science, Economics, Finance or Mathematics. Support fellow Analysts, client services teams and wider……
Skills: Microsoft Excel, Microsoft Access, Microsoft SQL Server, SSRS, Tableau",,0,-1,-1,-1.0,,,,,,," Microsoft Excel, Microsoft Access, Microsoft SQL Server, SSRS, Tableau",
Amex,Gurgaon,Senior Analyst-Data Analytics,"Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need. Strong technical and analytical skills with ability to……
Skills: Computer science, Big data, Analysis skills, Analytics",4.1,0,-1,-1,-1.0,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD)," Computer science, Big data, Analysis skills, Analytics",174.0
OMFYS Technologies India Pvt Ltd,Pune,Data Analyst Trainee,"Should be an excellence in client relationship management and project co-ordination Excellent written and verbal communication skills Ability to quickly learn……
Skills: Microsoft Powerpoint, Data modeling, Microsoft Excel, SAS, R",3.3,0,-1,-1,-1.0,51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Microsoft Powerpoint, Data modeling, Microsoft Excel, SAS, R",11.0
Eoraa & Co.,Delhi,Data Scientist,"Proficient with Python/R. Strong communication and presentation skills. Knowledge of various analytical approaches.…
Skills: R, Communication skills, Python",,0,-1,-1,-1.0,,,,,,," R, Communication skills, Python",
Genpact,Gurgaon,Management Trainee - Data & Insights Analyst,"In this role, you'll be responsible for all the activities related to Power BI domain and for rapid simulation and understanding of existing applications and……
Skills: Power BI, Data modeling, Microsoft Excel, Azure, Oracle",3.9,0,-1,-1,-1.0,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)," Power BI, Data modeling, Microsoft Excel, Azure, Oracle",27.0
Varuna Group,Gurgaon,Data Analyst & Data Scientist,"Analyzing Data or Information - Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts……
Skills: Pricing",3.3,0,-1,-1,-1.0,1001 to 5000 Employees,--,Company - Private,--,--,Unknown / Non-Applicable, Pricing,
One Impression,Gurgaon,Data Analyst,"Data Insights: Deliver insights and analysis using statistical tools, and data visualization for business use cases, enabling data-driven decision-making for……
Skills: Power BI, Microsoft Excel, R, Data analysis skills, Apache Hive",3.3,0,-1,-1,-1.0,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)," Power BI, Microsoft Excel, R, Data analysis skills, Apache Hive",7.0
Boston Consulting Group,Delhi,Global IT Infra/Cloud Engineer Senior Specialist,"Work collaboratively with application development, data protection, information security, and risk management teams to understand and implement data and cloud……
Skills: Jira, CI/CD, Azure, Customer service, DevOps",4.2,0,600000,700000,650000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Jira, CI/CD, Azure, Customer service, DevOps",61.0
WSD Consultant,Bengaluru,Junior Data Scientist/,"candidate should qualify checklist written below: Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ?……
Skills: Machine learning, Content development, Data science, Training & development, AI",5.0,0,500000,1000000,750000.0,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable," Machine learning, Content development, Data science, Training & development, AI",
IPCS Global solutions pvt ltd,India,Python & Data Science Trainer,"Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine……
Skills: Power BI, R, Tableau, Java, Machine learning",,0,85000,900000,492500.0,,,,,,," Power BI, R, Tableau, Java, Machine learning",
AS Global Soft Tech,India,Data Science AI-Intern,"AS Global Soft Tech is currently providing an internship based on below Technolgies Datascience with AI Knowledge AS Global Soft Tech is a Design &……
Skills: iOS, Data science, AI",,0,500000,900000,700000.0,,,,,,," iOS, Data science, AI",
Netomi,Gurgaon,Data Scientist - I (Prompt Engineer),"Benchmarking: Conduct benchmarking studies to compare the performance of different prompts and identify best practices.…
Skills: TensorFlow, Machine learning, Natural language processing, Data science, AI",4.3,0,500000,900000,700000.0,51 to 200 Employees,2015,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable," TensorFlow, Machine learning, Natural language processing, Data science, AI",9.0
Clarivate,Noida,Senior Healthcare Research & Data Analyst,"The role comprises three broad functions: 1) market research and insights generation; 2) project management and execution; and 3) client service.…
Skills: Project management",3.6,0,400000,900000,650000.0,10000+ Employees,2016,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD), Project management,8.0
Globussoft Technologies,India,Data Science,"Develop custom data models and algorithms to apply to data sets. Extending company’s data with third party sources of information when needed.…
Skills: Data mining, NoSQL, SQL, Machine learning, Deep learning",4.2,0,36000,64000,50000.0,201 to 500 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)," Data mining, NoSQL, SQL, Machine learning, Deep learning",15.0
Neural Niti Private Limited,Delhi,AI Research Intern,"Lead the research and development initiatives to innovate and refine AI technologies, ensuring alignment with industry needs.…
Skills: Laboratory experience, Machine learning, AI, Research & development, Python",,0,600000,700000,650000.0,,,,,,," Laboratory experience, Machine learning, AI, Research & development, Python",
MSCI Inc,Bengaluru,Climate Data Analyst,"Collect data for climate datasets that includes Scope 1, 2 and 3 emissions, GHG reduction targets, TCFD data, Carbon Credits and Carbon Projects.…
Skills: Microsoft Excel, Research, Data entry, SharePoint",4.2,0,500000,900000,700000.0,1001 to 5000 Employees,1969,Company - Public,Investment & Asset Management,Finance,$2 to $5 billion (USD)," Microsoft Excel, Research, Data entry, SharePoint",55.0
Elsevier,Gurgaon,Data Research Analyst,"Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive.…
Skills: Research, Analysis skills, Data science, Communication skills",4.6,1,1000000,1500000,1250000.0,5001 to 10000 Employees,1880,Subsidiary or Business Segment,Publishing,Media and communication,$2 to $5 billion (USD)," Research, Analysis skills, Data science, Communication skills",144.0
SHL,Gurgaon,Associate - Data Operations,"Employee benefits package that takes care of you and your family. As a Data Operations Associate, you will be involved in creating standardized and reliable……
Skills: Databases, SQL, Machine learning, Communication skills, Python",3.6,1,600000,2000000,1300000.0,1001 to 5000 Employees,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Databases, SQL, Machine learning, Communication skills, Python",
Altair Engineering,Bengaluru,Intern – Global Academic Program – Data Science,"Ability to convey Data science, AI and its related mathematical concepts and considerations to beginners. Help with administering student access to our software……
Skills: Data mining, R, English, Machine learning, Data science",4.3,0,300000,400000,350000.0,1001 to 5000 Employees,1985,Company - Public,Software Development,Information Technology,$500 million to $1 billion (USD)," Data mining, R, English, Machine learning, Data science",39.0
